stop_id,stop_name,stop_type,stop_status,stop_description,longitude,latitude
99,Sea Point 2,Existing IRT Stop,Active,Full Shelter,18.390220668301183,-33.91510209463917
100,Arthur's 1,Existing IRT Stop,Active,Full Shelter,18.387965896052304,-33.91786032915717
101,Arthur's 2,Existing IRT Stop,Active,Totem,18.38824437435092,-33.917398144685464
102,Clarens 1,Existing IRT Stop,Active,Totem,18.385387730957454,-33.919709041305715
103,Clarens 2,Existing IRT Stop,Active,Totem,18.385648242959988,-33.91952268092812
104,Kei Apple 1,Existing IRT Stop,Active,Totem,18.383132959866078,-33.921199909301265
105,Kei Apple 2,Existing IRT Stop,Active,Full Shelter,18.38351766370912,-33.92082629183182
106,Paarden Eiland 1,IRT Station,Active,Station,18.467053574217076,-33.91794232942615
107,Paarden Eiland 2,IRT Station,Active,Station,18.46729611921102,-33.91776342013699
108,Tramway 1,Existing IRT Stop,Active,Totem,18.381263626383554,-33.922238944970864
109,Tramway 2,Existing IRT Stop,Active,Cantilever Shelter,18.38172260536191,-33.92190060795329
110,Queens 1,Existing IRT Stop,Active,Cantilever Shelter,18.379431901029168,-33.921840973783254
111,Koosani 1,Existing IRT Stop,Active,Cantilever Shelter,18.379530715984252,-33.92442009364049
112,Koosani 2,Existing IRT Stop,Active,Cantilever Shelter,18.379961907074254,-33.92397285293371
113,Bantry Bay 1,Existing IRT Stop,Active,Totem,18.37897376000095,-33.92652209321867
114,Bantry Bay 2,Existing IRT Stop,Active,Red Totem,18.378578501154614,-33.92699913641213
115,Clifton 1,Existing IRT Stop,Active,Totem,18.378210191793933,-33.93367744835486
116,Clifton 2,Existing IRT Stop,Active,Totem,18.37810239398704,-33.933468758109974
117,Clifton 2nd 1,Existing IRT Stop,Active,Totem,18.378300024483593,-33.93747103171987
118,Clifton 2nd 2,Existing IRT Stop,Active,Totem,18.378291041161607,-33.93697169014381
119,Neptune 1,IRT Station,Active,Station,18.469559872844425,-33.915064821434285
120,Neptune 2,IRT Station,Active,Station,18.46985631736392,-33.91495299916969
121,Clifton 3rd 1,Existing IRT Stop,Active,Cantilever Shelter,18.377455606803245,-33.939848457554035
122,Clifton 3rd 2,Existing IRT Stop,Active,Cantilever Shelter,18.37713221382474,-33.940101846566975
123,Clifton 4th 1,Existing IRT Stop,Active,Totem,18.37579473453144,-33.94153849604221
124,Clifton 4th 2,Existing IRT Stop,Active,Full Shelter,18.3754313712341,-33.94172390065494
125,Maiden's Cove 1,Existing IRT Stop,Active,Full Shelter,18.37673695531613,-33.94472234504127
